InvoiceID,ClientName,InvoiceDate,Amount,Status,ServiceDescription,DueDate,PaymentMethod
INV0001,Client_1,2024-12-09,4795.73,Unpaid,Consulting,2024-05-05,PayPal
INV0002,Client_2,2024-12-21,3937.37,Overdue,Support,2024-12-29,Check
INV0003,Client_3,2024-03-15,2092.61,Unpaid,Design,2024-07-03,Check
INV0004,Client_4,2024-06-13,3238.02,Overdue,Maintenance,2024-06-10,Check
INV0005,Client_5,2024-12-08,563.93,Overdue,Consulting,2024-10-28,Check
INV0006,Client_6,2024-06-06,927.48,Paid,Design,2024-03-11,Bank Transfer
INV0007,Client_7,2024-04-05,4269.56,Overdue,Support,2024-05-07,Credit Card
INV0008,Client_8,2024-03-31,4079.1,Unpaid,Consulting,2024-05-05,Check
INV0009,Client_9,2024-02-19,261.28,Unpaid,Development,2024-11-29,PayPal
INV0010,Client_10,2024-09-28,936.76,Unpaid,Consulting,2024-11-29,Bank Transfer
INV0011,Client_11,2024-12-25,2786.79,Overdue,Design,2024-11-09,Credit Card
INV0012,Client_12,2024-06-29,2549.05,Overdue,Maintenance,2024-12-30,Bank Transfer
INV0013,Client_13,2024-03-19,1054.0,Overdue,Development,2024-09-27,Credit Card
INV0014,Client_14,2024-09-23,1755.69,Unpaid,Design,2024-05-08,Bank Transfer
INV0015,Client_15,2024-03-29,390.52,Overdue,Consulting,2024-05-18,Bank Transfer
INV0016,Client_16,2024-04-30,3795.75,Paid,Support,2024-09-03,PayPal
INV0017,Client_17,2024-05-11,834.34,Paid,Design,2024-10-13,Credit Card
INV0018,Client_18,2024-07-28,4498.69,Unpaid,Consulting,2024-02-10,PayPal
INV0019,Client_19,2024-11-19,2266.67,Unpaid,Support,2024-04-30,Credit Card
INV0020,Client_20,2024-02-07,2740.74,Overdue,Consulting,2024-11-18,Check
INV0021,Client_21,2024-11-11,4480.99,Paid,Development,2024-02-22,Bank Transfer
INV0022,Client_22,2024-04-14,4652.2,Overdue,Consulting,2024-11-25,Check
INV0023,Client_23,2024-11-07,4668.09,Overdue,Development,2024-08-27,PayPal
INV0024,Client_24,2024-01-10,4864.2,Paid,Design,2025-01-01,Credit Card
INV0025,Client_25,2024-12-27,1275.25,Overdue,Design,2025-01-22,Bank Transfer
